project_id,project_name,project_description,project_field_of_view,project_method,project_countries,project_protocol,project_global_region,project_organisations,site_id,site_name,site_latitude,site_longitude,site_depth,site_country,site_reef_name,site_exposure,site_reef_type,site_reef_zone,site_code,site_management,site_local_region,site_country_region,survey_id,survey_title,survey_description,survey_start_date (UTC),survey_collection_method,survey_depth,survey_transect_number,image_id,image_name,image_path,image_height,image_width,image_latitude,image_longitude,image_quality,image_disabled,point_id,point_num,point_machine_benthic_id,point_human_benthic_id,point_machine_classification,point_human_classification,point_machine_group_code,point_human_group_code,point_machine_benthic_code,point_human_benthic_code,QC_annotation,point_tags,point_coordinate,point_model_confidence,point_modified_by_displayname,point_modified_by_username,point_modified_by_email,model_data
1429,Tonga Benthic Surveys,National benthic surveys,50-100cm,"[""Dive""]","[""Tonga""]","[""Photo transects""]","[""Pacific""]","[""James Cook University"", ""Ministry of Fisheries - Tonga""]",43250,Vakaeitu,-18.72098333,-174.0979833,6,Tonga,NA,Very Sheltered,patch,fore reef,NA,Open,NA,Vavau,74270,Vavau_Vakaeitu_2024_Transect_3,NA,2024-10-27 10:06:00+00:00,Dive,5,3,5122223,PA272475.JPG,surveys/tonga-benthic-surveys/74270/3a2db8f0-73e6-4904-b27d-b0b6a686e8d4/PA272475.JPG,3000,4000,NA,NA,NA,FALSE,225276503,31,3594,NA,ta,,algae,,Turf algae,,,,"1205, 821",NA,,,,
1429,Tonga Benthic Surveys,National benthic surveys,50-100cm,"[""Dive""]","[""Tonga""]","[""Photo transects""]","[""Pacific""]","[""James Cook University"", ""Ministry of Fisheries - Tonga""]",43078,Lagoon Entrance 2,-21.114718,-175.103451,4,Tonga,NA,Sheltered,patch,fore reef,NA,Open,NA,Tongatapu,56049,Tongatapu_Lagoon Entrance 2_2018_Transect_3,NA,2018-10-12 11:00:00+00:00,Dive,4,3,4171175,DSCN8505.JPG,surveys/tonga-benthic-surveys/56049/80e79a6a-1303-4e0e-9dbd-c8536bff67d1/DSCN8505.JPG,3456,4608,NA,NA,NA,FALSE,177733564,19,3594,NA,ta,,algae,,Turf algae,,,,"2043, 1986",NA,,,,
1429,Tonga Benthic Surveys,National benthic surveys,50-100cm,"[""Dive""]","[""Tonga""]","[""Photo transects""]","[""Pacific""]","[""James Cook University"", ""Ministry of Fisheries - Tonga""]",43044,Haatafu FHR Town,-21.07089,-175.318779,5,Tonga,NA,Very Sheltered,fringing,fore reef,NA,FHR_2017,NA,Tongatapu,55979,Tongatapu_Haatafu FHR Town_2018_Transect_2,NA,2018-11-07 13:00:00+00:00,Dive,5,2,4168741,Haatafu FHR Town (44).JPG,surveys/tonga-benthic-surveys/55979/01f85cc1-aafb-4c24-8f94-afc48ab39a13/Haatafu FHR Town (44).JPG,3456,4608,NA,NA,NA,FALSE,177611140,13,3594,NA,ta,,algae,,Turf algae,,,,"1526, 1823",NA,,,,
1429,Tonga Benthic Surveys,National benthic surveys,50-100cm,"[""Dive""]","[""Tonga""]","[""Photo transects""]","[""Pacific""]","[""James Cook University"", ""Ministry of Fisheries - Tonga""]",43205,Sandy Beach Bommie,-19.720406,-174.284659,3,Tonga,NA,Very Sheltered,fringing,fore reef,NA,SMA_2018,NA,Haapai,74210,Haapai_Sandy Beach Bommie_2024_Transect_3,NA,2024-11-13 09:24:00+00:00,Dive,3,3,5117975,PB132132.JPG,surveys/tonga-benthic-surveys/74210/d77ad255-d5c1-45d7-a94f-1f4c78f231a9/PB132132.JPG,3000,4000,NA,NA,NA,FALSE,225064247,25,3594,NA,ta,,algae,,Turf algae,,,,"2156, 1752",NA,,,,
1429,Tonga Benthic Surveys,National benthic surveys,50-100cm,"[""Dive""]","[""Tonga""]","[""Photo transects""]","[""Pacific""]","[""James Cook University"", ""Ministry of Fisheries - Tonga""]",43015,Felemea FHR 1,-19.911852,-174.418412,2,Tonga,NA,Very Sheltered,fringing,fore reef,NA,FHR_2008,NA,Haapai,73621,Haapai_Felemea FHR 1_2024_Transect_3,NA,2024-10-14 10:00:00+00:00,Dive,1,3,5100730,PA142718.JPG,surveys/tonga-benthic-surveys/73621/ce2d98b6-e0f1-4daf-a970-f25d6d7ba06f/PA142718.JPG,3000,4000,NA,NA,NA,FALSE,224213999,27,3594,NA,ta,,algae,,Turf algae,,,,"2101, 665",NA,,,,
1429,Tonga Benthic Surveys,National benthic surveys,50-100cm,"[""Dive""]","[""Tonga""]","[""Photo transects""]","[""Pacific""]","[""James Cook University"", ""Ministry of Fisheries - Tonga""]",42999,Euiki West side,-18.7654,-174.0217833,6,Tonga,NA,Semi-exposed,fringing,fore reef,NA,FHR_2017,NA,Vavau,55228,Vavau_Euiki West side_2017_Transect_3,NA,2017-10-04 12:00:00+00:00,Dive,6,3,4156882,(1825).JPG,surveys/tonga-benthic-surveys/55228/d906a32f-ae1f-459c-bef3-fc2849685dee/(1825).JPG,3000,4000,NA,NA,NA,FALSE,177019242,15,3594,NA,ta,,algae,,Turf algae,,,,"641, 396",NA,,,,
1429,Tonga Benthic Surveys,National benthic surveys,50-100cm,"[""Dive""]","[""Tonga""]","[""Photo transects""]","[""Pacific""]","[""James Cook University"", ""Ministry of Fisheries - Tonga""]",43202,Port Maurelle Point,-18.70175,-174.03505,6,Tonga,NA,Very Sheltered,fringing,fore reef,NA,SMA_2017,NA,Vavau,74197,Vavau_Port Maurelle Point_2024_Transect_2,NA,2024-09-03 14:30:00+00:00,Dive,9,2,5116443,P9040081.JPG,surveys/tonga-benthic-surveys/74197/08ebd73d-a719-4cda-8899-6a3787fb5f9f/P9040081.JPG,3000,4000,NA,NA,NA,FALSE,224987938,49,3530,NA,rub_loose,,substrate,,Rubble,,,,"1751, 2115",NA,,,,
1429,Tonga Benthic Surveys,National benthic surveys,50-100cm,"[""Dive""]","[""Tonga""]","[""Photo transects""]","[""Pacific""]","[""James Cook University"", ""Ministry of Fisheries - Tonga""]",43194,Pangai Close,-19.803313,-174.354756,3,Tonga,NA,Very Sheltered,fringing,fore reef,NA,Open,NA,Haapai,74124,Haapai_Pangai Close_2024_Transect_2,NA,2024-11-18 15:04:00+00:00,Dive,2,2,5111640,PB182130.JPG,surveys/tonga-benthic-surveys/74124/46849cd7-14de-4d41-b916-e2132ce9a087/PB182130.JPG,3000,4000,NA,NA,NA,FALSE,224749115,43,3537,NA,ma_sarg,,algae,,Sargassum,,,,"2527, 1482",NA,,,,
1429,Tonga Benthic Surveys,National benthic surveys,50-100cm,"[""Dive""]","[""Tonga""]","[""Photo transects""]","[""Pacific""]","[""James Cook University"", ""Ministry of Fisheries - Tonga""]",43163,Oua FHR 3,-20.047143,-174.672662,2,Tonga,NA,Very Sheltered,fringing,fore reef,NA,FHR_2006,NA,Haapai,56275,Haapai_Oua FHR 3_2018_Transect_3,NA,2018-08-09 15:00:00+00:00,Dive,2,3,4175855,Oua FHR 3 (42).jpg,surveys/tonga-benthic-surveys/56275/381afd53-62da-4309-94f4-3f54ae8185f8/Oua FHR 3 (42).jpg,4495,3163,NA,NA,NA,FALSE,177967535,8,3594,NA,ta,,algae,,Turf algae,,,,"2751, 2757",NA,,,,
1429,Tonga Benthic Surveys,National benthic surveys,50-100cm,"[""Dive""]","[""Tonga""]","[""Photo transects""]","[""Pacific""]","[""James Cook University"", ""Ministry of Fisheries - Tonga""]",43112,Middle reefs close,-21.125744,-175.191784,5,Tonga,NA,Semi-exposed,patch,fore reef,NA,Open,NA,Tongatapu,56142,Tongatapu_Middle reefs close_2018_Transect_1,NA,2018-09-15 12:00:00+00:00,Dive,5,1,4173390,DSCN5033.JPG,surveys/tonga-benthic-surveys/56142/a9f2d25c-2cfa-4298-8fc3-18ca1423d6c9/DSCN5033.JPG,3456,4608,NA,NA,NA,FALSE,177844281,4,3558,NA,softcoral_mas,,soft_coral,,Soft coral,,,,"1152, 2592",NA,,,,
